id,kind,lat,lng,r
40000267,1,18.2510375,109.4952390,656
40000254,1,18.2922360,109.7094725,1312
40000172,1,18.6904905,109.1601560,5280
40000240,1,18.4487915,109.9731465,2779
40000199,1,18.2675170,109.4842505,4000
40000175,1,18.2894900,109.4677730,4439
40000192,1,18.6437985,109.1491700,4985
40000213,1,18.2070925,109.7067300,5279
40000212,1,18.2455445,109.4787595,1201
40000194,1,18.2153320,109.4897460,2626
40000203,1,18.2455445,109.4293210,656
40000191,1,18.2400515,109.4512935,1769
40000238,1,18.4790050,109.9429360,2339
40000202,1,18.5092165,109.9237060,3413
40000237,1,18.5311890,109.9346925,1085
40000263,1,18.4680190,110.0115995,4214
40000200,1,18.6602780,109.1986085,842
40000180,1,18.7069700,109.0997315,1085
40000262,1,18.7371825,109.1217040,842
40000233,1,18.7165850,109.1326905,4101
40000210,1,18.7097170,109.1107180,842
40000182,1,18.6602780,109.2095950,842
40000176,1,18.3142085,109.4952360,3434
40000209,1,18.5504150,109.9511725,2398
40000269,1,18.3059690,109.4403045,3999
40000235,1,18.4432980,110.0170915,2779
40000226,1,18.2592775,109.4293185,3434
40000251,1,18.6740110,109.2205810,1085
40000274,1,18.2839965,109.5172120,1635
40000168,1,18.3032225,109.5007325,1686
40000196,1,18.6795040,109.0997315,2217
40000204,1,18.2620240,109.4073485,2318
40000245,1,19.6545410,109.7534180,5529
40000183,1,19.6957395,109.7451825,4456
40000188,1,19.6490480,109.6929930,840
40000224,1,19.6710205,109.6820070,840
40000189,1,19.6710205,109.6710205,840
40000256,1,19.6875000,109.6710205,1352
40000265,1,19.6875000,109.7918700,840
40000266,1,19.7479250,109.7589110,840
40000179,1,19.6408085,109.7039795,652
40000223,1,19.7259520,109.7698975,840
40000244,1,19.7135945,109.7712745,2540
40000259,1,19.6696495,109.7589135,4090
40000195,1,19.7232055,109.7410645,3175
40000207,1,19.7561645,109.6984865,4851
40000178,1,19.6600340,109.6929930,840
40000227,1,19.7396850,109.7094725,5078
40000221,1,19.7369385,109.7698975,840
40000246,1,19.6600340,109.6820070,840
40000208,1,19.7012325,109.7067305,4457
40000268,1,19.6696495,109.7039820,4090
40000205,1,19.6545415,109.7424315,4959
40000217,1,19.4677735,108.8909915,2521
40000249,1,19.7561645,109.7479250,652
40000216,1,19.7067260,109.7918700,1634
40000169,1,19.7122190,109.7808840,1083
40000258,1,19.7218345,109.6957420,4297
40000231,1,19.7067260,109.6600340,3412
40000243,1,19.7259520,109.7808840,840
40000214,1,19.7369385,109.7589110,840
322900,1,21.4914480,109.2948490,13647
322901,1,21.5851716,109.2947469,13934
1248500,1,22.6590707,108.2118676,14764
1248501,1,22.5592246,108.1413801,14790
960001599,0,22.8171443,108.3528542,500
960001579,0,22.8193548,108.3235381,500
410800,1,24.2499860,109.3456671,14303
410801,1,24.1683280,109.4376758,14304
163000,1,26.2774153,109.1049893,14283
163001,1,26.3666946,109.1935168,14136
4002557900,1,28.4454585,109.4884971,14502
4002557901,1,28.5450308,109.5508841,14468
145100,1,27.3886710,109.6796544,14444
145101,1,27.4964311,109.7361863,14177
733700,1,27.8290116,109.2782456,14393
733701,1,27.9365204,109.3458118,14515
40002378,0,30.3546903,109.4791992,1204
809600,1,30.7930837,108.4904122,13550
809601,1,30.8130099,108.3753943,13470
265600,1,29.4637053,108.8155249,13867
265601,1,29.5645865,108.8478248,13621
14100,1,30.2740003,109.4882005,13503
14101,1,30.3676439,109.4818067,13326
4000154100,1,32.7470773,108.8199367,13918
4000154101,1,32.7667089,108.9275040,13917
777500,1,34.3833723,108.7202235,15312
777501,1,34.4957482,108.8034137,15279
960001590,0,34.2296385,108.9571471,500
960001567,0,34.2685413,108.9494443,500
3028602700,1,36.5225610,109.4182431,14222
3028602701,1,36.4367056,109.5100772,14220
703900,1,38.4041277,109.5271891,14774
703901,1,38.3125067,109.6653415,14626
304600,1,40.5860570,109.9316454,14505
304601,1,40.5324741,110.0624635,14548
72300,1,39.5158163,109.7942772,14590
72301,1,39.4708331,109.9256931,14483
40000177,1,18.4844970,110.0445555,3112
40000241,1,18.4844970,110.0555420,2514
40000229,1,18.5229505,110.0115965,4213
40000232,1,18.5174560,110.0445555,843
40000201,1,18.5339355,110.0225830,843
40000236,1,18.5339355,110.0335690,843
40000228,1,18.5202025,110.0335690,1085
40000193,1,18.5449220,110.0225830,843
40045189,1,19.5969462,110.9304178,1166
40045151,1,19.6219445,110.9195834,755
